time_normalized,blue,orange
0.5020145,0.5652174,0.3511706
0.5028203,0.5585284,0.3511706
0.5036261,0.5585284,0.3517280
0.5044319,0.5585284,0.3433668
0.5052377,0.5585284,0.3433668
0.5060435,0.5585284,0.3361204
0.5068493,0.5585284,0.3361204
0.5076551,0.5512821,0.3294314
0.5084609,0.5512821,0.3283166
0.5092667,0.5440357,0.3210702
0.5100725,0.5440357,0.3210702
0.5108783,0.5440357,0.3210702
0.5116841,0.5440357,0.3210702
0.5124899,0.5512821,0.3210702
0.5132957,0.5579710,0.3210702
0.5141015,0.5512821,0.3143813
0.5149073,0.5512821,0.3149387
0.5157131,0.5501672,0.3160535
0.5165189,0.5457079,0.3149387
0.5173247,0.5423634,0.3082497
0.5181305,0.5501672,0.3160535
0.5189363,0.5574136,0.3160535
0.5197421,0.5535117,0.3082497
0.5205479,0.5496098,0.3082497
0.5213537,0.5490524,0.3082497
0.5221595,0.5423634,0.3082497
0.5229654,0.5423634,0.3154961
0.5237712,0.5423634,0.3199554
0.5245770,0.5418060,0.3188406
0.5253828,0.5423634,0.3177258
0.5261886,0.5423634,0.3160535
0.5269944,0.5423634,0.3093645
0.5278002,0.5418060,0.3015608
0.5286060,0.5423634,0.3010033
0.5294118,0.5423634,0.3082497
0.5302176,0.5423634,0.3082497
0.5310234,0.5423634,0.3082497
0.5318292,0.5423634,0.3082497
0.5326350,0.5418060,0.3082497
0.5334408,0.5423634,0.3082497
0.5342466,0.5423634,0.3015608
0.5350524,0.5423634,0.3004459
0.5358582,0.5423634,0.2931996
0.5366640,0.5418060,0.2931996
0.5374698,0.5423634,0.2865106
0.5382756,0.5423634,0.2859532
0.5390814,0.5418060,0.2787068
0.5398872,0.5418060,0.2787068
0.5406930,0.5423634,0.2709030
0.5414988,0.5423634,0.2630992
0.5423046,0.5423634,0.2630992
0.5431104,0.5418060,0.2630992
0.5439162,0.5423634,0.2552954
0.5447220,0.5351171,0.2541806
0.5455278,0.5345596,0.2469342
0.5463336,0.5278707,0.2469342
0.5471394,0.5278707,0.2469342
0.5479452,0.5278707,0.2469342
0.5487510,0.5278707,0.2469342
0.5495568,0.5278707,0.2474916
0.5503626,0.5278707,0.2474916
0.5511684,0.5278707,0.2472129
0.5519742,0.5278707,0.2469342
0.5527800,0.5278707,0.2469342
0.5535858,0.5278707,0.2474916
0.5543916,0.5278707,0.2474916
0.5551974,0.5278707,0.2469342
0.5560032,0.5278707,0.2463768
0.5568090,0.5278707,0.2469342
0.5576148,0.5278707,0.2474916
0.5584206,0.5278707,0.2474916
0.5592264,0.5278707,0.2474916
0.5600322,0.5278707,0.2469342
0.5608380,0.5278707,0.2469342
0.5616438,0.5278707,0.2471200
0.5624496,0.5200669,0.2473058
0.5632554,0.5195095,0.2474916
0.5640612,0.5117057,0.2469342
0.5648670,0.5117057,0.2474916
0.5656728,0.5117057,0.2474916
0.5664786,0.5117057,0.2474916
0.5672844,0.5117057,0.2474916
0.5680902,0.5117057,0.2469342
0.5688961,0.5117057,0.2474916
0.5697019,0.5117057,0.2473058
0.5705077,0.5117057,0.2471200
0.5713135,0.5117057,0.2469342
0.5721193,0.5117057,0.2469342
0.5729251,0.5117057,0.2474916
0.5737309,0.5117057,0.2469342
0.5745367,0.5117057,0.2463768
0.5753425,0.5117057,0.2469342
0.5761483,0.5117057,0.2469342
0.5769541,0.5117057,0.2471200
0.5777599,0.5117057,0.2473058
0.5785657,0.5117057,0.2474916
0.5793715,0.5117057,0.2469342
0.5801773,0.5117057,0.2474916
0.5809831,0.5117057,0.2463768
0.5817889,0.5117057,0.2391304
0.5825947,0.5117057,0.2324415
0.5834005,0.5117057,0.2324415
0.5842063,0.5117057,0.2324415
